,Date,User,Tweet,Likes,Retweets,Replies
76,2022-03-24 10:30:11,TheBridge_Tech,"¿Crees que lo sabes todo?🤓¡Déjate sorprender! Adéntrate en el mundo de la #ProgramacionWeb y las criptomonedas, conoce la metolodogía #Scrum o profundiza en el #deeplearning. Apúntate a nuestros talleres gratuitos y amplía horizontes 👉https://t.co/bYfstQB02R https://t.co/O1Y4J6puMR",0,0,0
77,2022-03-18 08:19:22,TheBridge_Tech,"¡Comenzamos el #Desafiodetripulaciones ⚔ de la promo full time de noviembre! El tema de los proyectos: el #coliving, con la colaboración de @TheFringeLABS  ¡No te pierdas las web apps que han creado! 🔴EN DIRECTO https://t.co/PepMdUmCMu",5,4,0
78,2022-03-17 18:30:10,CourseReport,"🎉 Congrats to @simplilearn, @TheBridge_Tech, @thinkful, and @udacity who made it on our list of the 14 Best Digital Marketing Bootcamps of 2022! https://t.co/tgUf4qX2DX https://t.co/MIhFTrM9lA",0,0,0
79,2022-03-17 11:18:27,TheBridge_Tech,"Más de 300.000 expertos en #ciberseguridad se han unido en una especie de ""ejército IT"" en Ucrania para llevar a cabo ataques informáticos contra infraestructuras y empresas rusas 👾🔓https://t.co/CERWGVqWQw",0,0,0
80,2022-03-17 08:52:24,carlosguardiola,"En 2021, las instituciones que forman profesionales digitales con modelos de Bootcamp prepararon a más personas que el 94% de las universidades españolas @Adalab_Digital @TheBridge_Tech @ironhack https://t.co/zyzeLrNdLo",5,0,1
81,2022-03-15 19:01:18,CourseReport,"🔐 We've combed through student &amp; alumni reviews to find the 17 Best Cyber Security Bootcamps of 2022, including @Level_Effect, @nexgent, @simplilearn, @Springboard, and @TheBridge_Tech! 
https://t.co/t9VCetS80T https://t.co/uhS3m8KSBT",3,2,0
82,2022-03-14 23:28:02,soyelsimo,@PICKYUAN @TheBridge_Tech @PagePersonnel Yo por experiencia te diría que busques otra escuela. Cuando las cosas funcionan bien todo muy bonito ahora cuando no… no hacen nada y te dicen que esto es lo que hay 😅🤦‍♂️,0,0,0
83,2022-03-14 16:34:24,TheBridge_Tech,¡Muy contentos por todos ellos! 100% empleabilidad en la promoción de junio. Gracias desde @TheBridge_Tech por confiar y ponerlo todo tan fácil ¡Felicidades! #fullstackdevelopers #datascientists #digitalmarketers #uxuidesigners #cybersecurityanalysts 🎯💼 https://t.co/R0eGi9QXv5,3,1,0
84,2022-03-11 19:07:12,TheBridge_Tech,"👾La #ciberseguridad, más necesaria que nunca.

El #sectortecnológico pide más financiación y formación de profesionales para evitar ataques a sectores claves para la economía como energía, finanzas y transporte 🔒 https://t.co/OxY8JpRavS",0,0,0
85,2022-03-11 08:11:49,TheBridge_Tech,"¿Algún identificado en la sala? 😂

#desarrolloweb #css #fullstackdeveloper https://t.co/169UXtS1b5",0,0,0
86,2022-03-09 13:02:12,TheBridge_Tech,Faltan por salir las listas de #UXUIProductDesign #DataScience y #DesarrolloWebFullStack ¡Sería estupendo volver a aparecer!,1,0,0
87,2022-03-09 12:09:36,TheBridge_Tech,¡El #bootcamp de #Ciberseguridad de @TheBridge_Tech vuelve a estar entre los mejores bootcamps del mundo! Y este año también nos estrenamos con el de #DigitalMarketingOps que entra por primera vez en la lista de #CourseReport! Una súper noticia👏👏¡Gracias a todos! #bestbootcamps https://t.co/3xShvybDST,2,2,1
88,2022-03-05 15:02:16,pablooliete,"Día para agradecer a @TheBridge_Tech y @Glovo_ES la oportunidad que han dado a estos dos cracks para formarse con @codeorg en programación por bloques en un curso de 48 horas de duración.
Bravo 🙌 
🔝🦸🏻‍♂️🦸🏻‍♀️🏭🇪🇸 https://t.co/ZTCrroHQTc",13,0,0
89,2022-03-03 14:55:10,Poder_Liderazgo,[Opinión] Por más mujeres líderes en tecnología https://t.co/FqVeFL1ljq https://t.co/SFOFIEv1Uo @TheBridge_Tech https://t.co/kBo9xGdGrU,0,0,0
90,2022-03-03 14:54:32,Poder_Liderazgo,[Opinión] Por más mujeres líderes en tecnología - https://t.co/FqVeFL1ljq @TheBridge_Tech https://t.co/TE5sXsBaAT,0,0,0
91,2022-03-03 14:45:14,TheBridge_Tech,"@PICKYUAN @PagePersonnel Sentimos mucho el fallo técnico. Revisaremos que pudo pasar, pueden conectarse a próximos eventos o contactarnos si quieren más información sobre la escuela llamar al 919 01 72 57 ¡Gracias!",1,0,0
92,2022-03-02 18:25:08,PICKYUAN,"@TheBridge_Tech @PagePersonnel Mi hijo y yo nos apuntamos con muchos días de antelación
Hoy a las 7 nos conectamos y aparece el mensaje ""Enlace caducado"": no nos hemos podido conectar
Es una pena que, además de tener que recurrir a lo on-line, con la frialdad que supone, ocurran estos fallos técnicos
Muy mal",0,0,2
93,2022-03-02 08:34:22,TheBridge_Tech,"¡Empezamos el 21 de marzo en #Sevilla! No te puedes perder este taller de empleabilidad con el que arrancamos 🚀 Entradas: https://t.co/91M74qEah2
📅Hoy a las 19h
📍C/Isabela 1, Sevilla
@ENCamaraSevilla https://t.co/euWktCKqYp",1,0,0
94,2022-02-28 10:49:52,MyNews_es,"Toma contacto con el #marketingdigital de la mano de @TheBridge_Tech. Aprende a usar el contenido, el email, las redes sociales y la publicidad digital en este taller impartido por @jpereznavarrete📝

📅Jueves 3 de marzo, 18-19h (online)

#EventoDeLaSemana  #masterclass #MyNews",2,0,1
95,2022-02-28 08:23:30,TheBridge_Tech,Gracias @insidezeusdata y @vicencf por la jornada formativa ¡Fue toda una experiencia para nuestros alumnos de #Valencia! 🤗 https://t.co/CCJh9DGB2f,2,0,0
96,2022-02-25 13:15:24,insidezeusdata,"Nuestro PMO @vicencf da una clase a los alumnos de @TheBridge_Tech  en nuestras instalaciones 🚀

#bigdata #data #education https://t.co/jiskmovU0m",4,1,0
97,2022-02-25 11:02:36,TheBridge_Tech,"¡#Datascientist mirad esto! ⚽🏃 Cómo @LaLiga utiliza el dato y la inteligencia artificial (IA) para predecir cuáles son las mejores fechas para celebrar partidos, monitorizar la venta de entradas... ¡Interesante conocer su filial @LaLigaTech! https://t.co/HrEwHLEivh
#datascience",1,0,0
98,2022-02-25 07:59:12,TheBridge_Tech,¡Gracias a vosotros! Los alumnos se llevaron grandes consejos y una visión del mercado laboral en profesiones #tech desde la perspectiva de #seleccion y #recruitment 🤩 @PagePersonnelES @michaelpage_es https://t.co/GaG9M8PTOA,1,0,0
99,2022-02-24 15:13:05,michaelpage_es,"Hace unos días, nuestras compañeras Inés Bdiri y Alba Calvo estuvieron en la Aceleradora de Talento digital @TheBridge_Tech para contar a sus alumnos las ""best practices"" en la búsqueda de empleo y ¡fue un éxito! 👏

¡Gracias a todos los asistentes!🙌 https://t.co/JLvRI7z6Ti",0,0,0
100,2022-02-22 15:12:12,TheBridge_Tech,"Si veis estos carteles por Sevilla, SÍ, SOMOS NOSOTROS! Aterrizamos en marzo con los #bootcamps en #DataScience y #DesarrolloWebFullStack ¡Pide información sin compromiso! En colaboración con @ENCamaraSevilla y @camaradesevilla 👍 https://t.co/V8mmlFAlEc https://t.co/JUOBlK4F7V",2,2,0
